"","LIMIT_BAL","SEX","EDUCATION","MARRIAGE","AGE","repayment_status_april","repayment_status_may","repayment_status_june","repayment_status_july","repayment_status_august","repayment_status_september","default_payment_next_month"
"1",20000,2,2,1,24,0,0,0,1,1,1,1
"2",120000,2,2,2,26,1,1,1,1,1,1,1
"3",90000,2,2,2,34,1,1,1,1,1,1,0
"4",50000,2,2,1,37,1,1,1,1,1,1,0
"5",50000,1,2,1,57,1,1,1,1,1,1,0
"6",50000,1,1,2,37,1,1,1,1,1,1,0
"7",5e+05,1,1,2,29,1,1,1,1,1,1,0
"8",1e+05,2,2,2,23,0,0,0,0,0,1,0
"9",140000,2,3,1,28,1,1,1,1,1,1,0
"10",20000,1,3,2,35,1,1,1,1,1,1,0
"11",2e+05,2,3,2,34,1,1,1,1,1,1,0
"12",260000,2,1,2,51,1,1,1,1,1,1,0
"13",630000,2,2,2,41,1,1,1,1,1,1,0
"14",70000,1,2,2,30,1,1,1,1,1,1,1
"15",250000,1,1,2,29,1,1,1,1,1,1,0
"16",50000,2,3,3,23,1,1,1,1,1,1,0
"17",20000,1,1,2,24,1,1,1,1,1,1,1
"18",320000,1,1,1,49,1,0,1,1,1,1,0
"19",360000,2,1,1,49,0,0,0,0,0,0,0
"20",180000,2,1,2,29,0,0,0,0,0,0,0
"21",130000,2,3,2,39,0,0,0,1,1,1,0
"22",120000,2,2,1,39,1,1,0,1,1,1,1
"23",70000,2,2,2,26,1,1,1,1,1,1,1
"24",450000,2,1,1,40,0,0,0,1,1,1,1
"25",90000,1,1,2,23,1,1,1,1,1,1,0
"26",50000,1,3,2,23,1,1,1,1,1,1,0
"27",60000,1,1,2,27,0,0,0,0,0,0,1
"28",50000,2,3,2,30,1,1,1,1,1,1,0
"29",50000,2,3,1,47,1,1,1,1,1,1,0
"30",50000,1,1,2,26,1,1,1,1,1,1,0
"31",230000,2,1,2,27,1,1,1,1,1,1,0
"32",50000,1,2,2,33,1,1,1,1,1,1,1
"33",1e+05,1,1,2,32,1,1,1,1,1,1,0
"34",5e+05,2,2,1,54,0,1,0,0,0,0,0
"35",5e+05,1,1,1,58,1,0,1,1,1,1,0
"36",160000,1,1,2,30,0,0,0,0,0,1,0
"37",280000,1,2,1,40,1,1,1,1,1,1,0
"38",60000,2,2,2,22,1,0,0,0,0,0,0
"39",50000,1,1,2,25,0,0,0,0,1,0,1
"40",280000,1,1,2,31,1,1,1,1,1,1,0
"41",360000,1,1,2,33,1,1,1,1,1,1,0
"42",70000,2,1,2,25,1,1,1,1,1,1,0
"43",10000,1,2,2,22,1,1,1,1,1,1,0
"44",140000,2,2,1,37,1,1,1,1,1,1,0
"45",40000,2,1,2,30,1,1,1,1,1,1,0
"46",210000,1,1,2,29,0,0,0,0,0,0,1
"47",20000,2,1,2,22,0,1,1,1,1,1,1
"48",150000,2,4,2,46,0,0,1,1,1,1,1
"49",380000,1,2,2,32,1,1,1,1,1,1,0
"50",20000,1,1,2,24,1,1,1,1,1,1,0
"51",70000,1,3,2,42,1,1,1,1,1,1,1
"52",1e+05,2,3,3,43,1,1,1,1,1,1,0
